Geneid,PC3_Hypoxia_S2,PC3_Normoxia_S2,LNCAP_Normoxia_S1,LNCAP_Hypoxia_S2,PC3_Normoxia_S1,PC3_Hypoxia_S1,LNCAP_Normoxia_S2,LNCAP_Hypoxia_S1
ENSG00000021461,0,0,46,32,0,0,48,22
ENSG00000021488,1,2,6,14,0,1,10,19
ENSG00000021574,350,987,1026,1149,395,1008,1110,917
ENSG00000021645,63,210,83,53,78,222,95,77
ENSG00000021762,20,107,2533,1552,43,59,3490,1368
ENSG00000021776,788,2440,3563,3526,886,2435,3750,2901
ENSG00000021826,162,626,2600,2227,235,491,2658,2020
ENSG00000021852,0,1,0,0,0,0,0,0
ENSG00000022267,450,1087,1,6,406,1464,2,5
ENSG00000022277,381,1202,2076,2164,465,1149,2508,1861
ENSG00000022355,1,3,1,0,3,1,0,0
ENSG00000022556,0,0,1663,1457,0,0,2235,1194
ENSG00000022567,12,87,381,365,43,32,533,349
ENSG00000022840,503,1190,3293,4195,464,1410,4445,3564
ENSG00000022976,27,136,699,594,42,54,785,634
ENSG00000023041,494,1490,2530,3058,498,1446,2786,3072
ENSG00000023171,1034,3116,11,8,1157,3612,6,15
ENSG00000023191,332,1005,1177,1115,409,910,1981,928
ENSG00000023228,745,2459,7791,7264,870,2294,8710,6290
ENSG00000023287,436,1115,3988,4699,384,1469,4104,4530
ENSG00000023318,803,1690,6158,4558,605,2111,6643,3620
ENSG00000023330,115,400,3079,5184,128,356,3627,4720
ENSG00000023445,169,475,1277,736,165,627,1306,596
ENSG00000023516,228,741,4297,5641,270,639,4639,4882
ENSG00000023572,39,159,1260,1539,65,153,1324,1231
ENSG00000023608,699,2006,735,1159,769,2382,697,1015
ENSG00000023697,265,661,995,850,269,655,1215,760
ENSG00000023734,505,1921,16438,15225,725,1696,19394,13546
ENSG00000023839,4,27,16,20,7,22,12,18
ENSG00000023892,161,718,813,693,253,377,1183,615
ENSG00000023902,140,463,47,132,185,436,120,150
ENSG00000023909,532,1397,2129,1923,553,1865,2096,1574
ENSG00000024048,603,2188,1816,2258,806,2003,1850,1759
