"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000007171",11.1640638910617,-0.0200371787032668,0.276050696551497,0.836670102063023,0.921381695739786
"ENSG00000007174",23.4003462022748,0.180150314898927,0.297146353884186,0.230315776559782,0.435929033601597
"ENSG00000007202",6293.06573041873,0.274790458530082,0.0899009883643705,0.00125790824370117,0.00969719034098397
"ENSG00000007237",6.0941259541912,0.0659592222314713,0.28985976589612,0.425907694110458,NA
"ENSG00000007255",89.4784743453951,-0.392084555753894,0.236223405220651,0.0265473398177674,0.0998851639083893
"ENSG00000007264",11.4590317449623,-0.0967866347093378,0.279136956391393,0.432476030643178,0.640901250539395
"ENSG00000007314",2.08417548912212,-0.0329950687622546,0.290298253849655,0.580639287336579,NA
"ENSG00000007341",641.18544881105,-0.19418698183976,0.137079522491425,0.110594296029052,0.27083305614338
"ENSG00000007350",2.68821548788776,0.104373147623668,0.312152407786858,0.166942831473545,NA
"ENSG00000007372",165.370366182348,-0.0701539440455164,0.200641191357266,0.636054558693889,0.794297093000336
"ENSG00000007376",615.472156231275,-0.217453342581153,0.168948112787485,0.120007864261259,0.285916382542576
"ENSG00000007384",584.440143453874,0.590178685365202,0.101584178482499,1.27624731810848e-09,5.58365063217179e-08
"ENSG00000007392",926.256207080514,0.477201995477749,0.187856473415507,0.0025718363510376,0.0169929973126044
"ENSG00000007402",141.159615840874,-0.252518288799614,0.168308879941765,0.0736288981518529,0.205817528007132
"ENSG00000007516",120.590275326438,0.190161994434453,0.170530673132449,0.173353953096122,0.364593489278147
"ENSG00000007520",320.13323459491,0.00612436618881748,0.247435508312465,0.969282195666072,0.988078217599367
"ENSG00000007541",302.22389278649,0.0621437694157182,0.16177112929065,0.654981285152552,0.806203972963669
"ENSG00000007545",141.304026170964,0.342511663878612,0.191040304904118,0.0269836005273648,0.101016569775013
"ENSG00000007866",436.328791866399,0.591559169991501,0.11361783759228,3.64763990808968e-08,1.15588140638904e-06
"ENSG00000007923",1301.6956223098,0.211715318659251,0.123896097872389,0.058915581011151,0.176341150376298
"ENSG00000007933",3.47398334301581,0.012274730936925,0.280003082947017,0.883605892938512,NA
"ENSG00000007944",450.771473035484,0.0234243857365232,0.156756846730763,0.858391529201946,0.93216169905436
"ENSG00000007952",12.8903291478705,-0.174285353090785,0.339460121025302,0.135539209503819,0.309786504678765
"ENSG00000007968",132.059361500482,-0.22476937788058,0.193995183946982,0.138942350018432,0.315212808176331
"ENSG00000008018",3403.23302898428,-0.0276006193689101,0.13848460932378,0.817007047693907,0.910631722279086
"ENSG00000008056",14.1525427431006,0.264606396607814,0.410949254756032,0.0713634635886472,0.201305921138025
"ENSG00000008083",663.603871417548,0.394286572816445,0.119266361681322,0.000327889386928497,0.00329248849342219
"ENSG00000008086",1177.45472821806,0.458317862990368,0.160216266892838,0.00106813090599257,0.00856525626784108
"ENSG00000008118",10.6386197886913,-0.0290890429862843,0.269692169928808,0.79277498672917,0.896123124462174
"ENSG00000008128",23.3200102673063,0.208266038374567,0.326819171243195,0.164351556369658,0.352176960478652
"ENSG00000008130",637.979056854631,-0.0967973741672654,0.144750119563126,0.442126178772821,0.64868130542004
"ENSG00000008226",7.35518407167156,-0.0199551344107512,0.272847043603777,0.849719184003382,NA
