"","LNCAP_Hypoxia_S1","LNCAP_Hypoxia_S2","LNCAP_Normoxia_S1","LNCAP_Normoxia_S2","PC3_Hypoxia_S1","PC3_Hypoxia_S2","PC3_Normoxia_S1","PC3_Normoxia_S2"
"ENSG00000006704",735.944968876651,703.635799711604,387.969843332286,419.828756968869,258.96586396003,231.804986646013,325.901955341576,315.634802966425
"ENSG00000006712",3176.27158158355,3346.32098746307,2942.4679129134,2995.51115181767,883.236231670442,622.759665616154,840.943438336745,870.754753638144
"ENSG00000006715",1001.88871899344,1070.42989767711,1221.12418385906,1143.86850851623,2409.50847336724,2183.11860557663,2118.36270972024,2111.22160166004
"ENSG00000006740",655.660063181017,503.789483952621,353.641051014963,406.640419053617,282.735677560227,249.103866246462,296.803566471792,310.116712005473
"ENSG00000006744",1449.58857506007,1443.60729319757,1792.1809195504,1809.00035070879,615.513067962971,487.828404732654,864.222149432572,741.63142515188
"ENSG00000006747",27.319169299209,34.3716022189897,40.3227084362207,34.7292898434981,15.0125138527554,17.2988796004487,17.4590333218701,19.8651274594253
"ENSG00000006756",910.453131951191,627.527251940983,682.216634623626,718.324805117416,356.54720400294,356.356919769244,369.549538646251,352.054203308705
"ENSG00000006757",598.234054245945,605.431221943061,837.513552249612,1000.55523650382,569.224483583642,664.276976657231,765.287627275308,714.040970347122
"ENSG00000006788",5.01780660597717,10.3114806656969,3.269408792126,6.15455769378447,0,0,0,0
"ENSG00000006831",1033.6681608313,1074.84910367669,944.859140924415,985.168842269357,517.931727920061,525.885939853641,506.311966334234,566.156132593622
"ENSG00000006837",26.2041011645474,36.8267166632033,30.5144820598427,34.2896785796563,6.25521410531475,6.91955184017949,8.72951666093507,13.2434183062836
"ENSG00000007001",0,0,0.544901465354334,0.879222527683496,0,0,5.81967777395671,0
"ENSG00000007038",0.557534067330796,0,0.544901465354334,0.439611263841748,0,0,0,0
"ENSG00000007047",316.679350243892,302.470099527109,184.721596755119,225.960189614658,107.589682611414,107.253053522782,128.032911027048,116.983528372171
"ENSG00000007062",0.557534067330796,0.98204577768542,2.17960586141734,2.63766758305049,15.0125138527554,13.839103680359,2.90983888697836,2.20723638438059
"ENSG00000007080",1329.16121651662,1219.20983299645,1369.8822839008,1845.9276968715,773.144463416903,761.150702419744,1050.45183819919,906.070535788234
"ENSG00000007129",0.557534067330796,0,0,0,0,0,0,0
"ENSG00000007168",3387.01945903459,3406.71680279072,2841.1162403575,2436.32562421097,4568.80838252189,4269.36348539074,2781.80597595131,3060.33324694369
"ENSG00000007171",0,0.49102288884271,0,0.439611263841748,22.5187707791331,17.2988796004487,32.0082277567619,16.5542728828545
"ENSG00000007174",59.0986111370644,49.5933117731137,38.1431025748034,39.1254024819156,1.25104282106295,0,0,0
"ENSG00000007202",8374.71922537589,7812.66518437636,6168.82948927642,6263.58128721722,6278.98391891494,5341.89402061857,4908.89820233249,5195.83444883192
"ENSG00000007216",0,0.49102288884271,0,0.439611263841748,0,0,0,0
"ENSG00000007237",11.7082154139467,8.34738911032607,2.72450732677167,3.95650137457573,1.25104282106295,6.91955184017949,11.6393555479134,2.20723638438059
"ENSG00000007255",94.7807914462354,79.545707992519,102.441475486615,156.501609927662,53.7948413057068,65.7357424817051,90.205005496329,72.8388006845596
"ENSG00000007264",5.01780660597717,2.94613733305626,2.72450732677167,5.71494642994272,8.75729974744064,20.7586555205385,20.3688722088485,25.3832184203768
"ENSG00000007306",0,0,0,0,0,0,0,0
"ENSG00000007312",0,0,0,0,0,0,2.90983888697836,0
"ENSG00000007314",0,0.49102288884271,1.08980293070867,0,2.5020856421259,3.45977592008974,5.81967777395671,3.31085457657089
"ENSG00000007341",560.879271734781,489.058797287339,775.394785199217,674.363678733241,693.077722868874,633.138993376423,654.71374957013,648.927497007895
"ENSG00000007350",5.57534067330796,7.85636622148336,3.81431025748034,1.75844505536699,2.5020856421259,0,0,0
"ENSG00000007372",0,0.98204577768542,0,1.31883379152524,350.291989897626,280.241849527269,357.910183098338,332.189075849279
"ENSG00000007376",352.361530553063,399.692631517966,305.144820598427,447.963877854741,693.077722868874,678.11608033759,1079.55022706897,967.87315455089
"ENSG00000007384",905.992859412544,956.021564576757,566.697523968507,593.914817450201,510.425470993683,456.690421451846,340.451149776468,345.432494155563
"ENSG00000007392",2220.65819017856,2215.00425156946,1296.86548754332,1195.74263764955,143.869924422239,107.253053522782,101.844361044242,129.123328486265
"ENSG00000007402",155.552004785292,137.977431764802,158.566326418111,210.573795380197,110.09176825354,96.8737257625128,133.852588801004,125.812473909694
"ENSG00000007516",166.145152064577,143.869706430914,119.878322377954,118.25542997343,96.3302972218471,114.172605362962,122.213233253091,83.8749826064626
"ENSG00000007520",812.884670168301,202.301430203197,214.146275884253,391.693636082997,185.154337517316,166.069244164308,299.713405358771,289.147966353858
"ENSG00000007541",421.495754902082,388.399105074584,268.091520954332,373.669574265486,203.919979833261,245.644090326372,247.33630539316,269.282838894432
"ENSG00000007545",263.713613847467,289.703504417199,209.787064161419,229.037468461551,40.0333702740144,48.4368628812564,23.2787110958268,26.4868366125671
"ENSG00000007866",681.864164345564,687.432044379794,410.855704877168,465.108717144569,360.300332466129,394.414454890231,226.967433184312,263.764747933481
"ENSG00000007908",0,1.96409155537084,1.08980293070867,0.879222527683496,0,0,0,0
"ENSG00000007923",1959.17471260042,1433.29581253187,1371.51698829686,1324.10912669134,1155.96356666217,1114.0478462689,1067.91087152106,987.738282010316
"ENSG00000007933",3.34520440398478,2.94613733305626,2.17960586141734,1.31883379152524,2.5020856421259,3.45977592008974,8.72951666093507,3.31085457657089
"ENSG00000007944",565.339544273428,519.011193506745,392.873956520475,423.345647079603,379.065974782074,356.356919769244,503.402127447256,466.830495296496
"ENSG00000007952",2.78767033665398,16.6947782206521,28.3348761984254,18.4636730813534,11.2593853895665,0,14.5491944348918,11.036181921903
"ENSG00000007968",141.056119034692,167.929827984207,196.709428992915,146.390550859302,73.811526442714,93.4139498424231,104.754199931221,132.434183062836
"ENSG00000008018",3326.24824569553,3855.51172319296,4949.34000981342,4072.11913696611,3131.36018112056,2881.99334143476,2598.48612607167,2411.4057499358
"ENSG00000008056",6.13287474063876,1.47306866652813,2.17960586141734,2.63766758305049,51.2927556635809,24.2184314406282,8.72951666093507,16.5542728828545
"ENSG00000008083",1085.51882909306,1133.77185033782,739.976189951186,743.382647156396,424.10351634034,435.931765931308,398.647927516035,347.639730539944
"ENSG00000008086",260.925943510813,264.661337086221,251.199575528348,203.979626422571,2787.32340532825,2594.83194006731,1428.73089350637,1627.83683348069
"ENSG00000008118",0.557534067330796,0.98204577768542,0.544901465354334,1.75844505536699,17.5145994948813,24.2184314406282,17.4590333218701,22.0723638438059
"ENSG00000008128",68.576690281688,46.6471744400575,29.424679129134,39.5650137457573,1.25104282106295,0,0,1.1036181921903
"ENSG00000008130",1042.03117184126,1070.92092056595,1017.33103581654,901.203090875583,210.175193938575,242.184314406282,296.803566471792,323.360130311757
"ENSG00000008196",0.557534067330796,0,0.544901465354334,0.879222527683496,0,0,2.90983888697836,1.1036181921903
"ENSG00000008197",0,0,0,0,0,0,0,0
