"ensembl_gene_id","hgnc_symbol","gene_biotype","LNCAP_Hypoxia_S1","LNCAP_Hypoxia_S2","LNCAP_Normoxia_S1","LNCAP_Normoxia_S2","PC3_Hypoxia_S1","PC3_Hypoxia_S2","PC3_Normoxia_S1","PC3_Normoxia_S2"
"ENSG00000237009","GLIS3-AS1","lncRNA",0,0,0,0,3.75312846318885,13.839103680359,2.90983888697836,8.82894553752238
"ENSG00000203733","GJE1","protein_coding",0,0,0,0,1.25104282106295,0,0,0
"ENSG00000257316","ASS1P14","processed_pseudogene",0,0,0,0,1.25104282106295,0,0,0
"ENSG00000306540","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000304236","","lncRNA",0,0,0,0,27.5229420633849,41.5173110410769,26.1885499828052,23.1759820359962
"ENSG00000290720","","lncRNA",403.097130680166,412.950249516719,327.485780677955,369.273461627068,0,0,0,0
"ENSG00000257435","","lncRNA",0.557534067330796,0,0,0,0,0,0,0
"ENSG00000261272","MUC22","protein_coding",0,0,0.544901465354334,1.31883379152524,7.5062569263777,20.7586555205385,0,5.51809096095149
"ENSG00000213451","OR6C69P","unprocessed_pseudogene",0,0,0,0,0,0,0,0
"ENSG00000205331","OR6C72P","unprocessed_pseudogene",0,0,0,0,0,0,0,0
"ENSG00000304245","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000082175","PGR","protein_coding",0.557534067330796,0.98204577768542,8.17352198031501,11.4298928598854,3.75312846318885,3.45977592008974,0,0
"ENSG00000188324","OR6C6","protein_coding",0,0,0,0,0,0,0,0
"ENSG00000304861","","lncRNA",1.67260220199239,2.94613733305626,1.634704396063,0,1.25104282106295,0,8.72951666093507,9.93256372971267
"ENSG00000309789","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000230307","OR6C5P","unprocessed_pseudogene",0,0,0,0,0,0,0,0
"ENSG00000304253","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000240053","LY6G5B","protein_coding",31.2219077705246,38.2997853297314,14.1674380992127,24.6182307751379,21.2677279580701,20.7586555205385,20.3688722088485,16.5542728828545
"ENSG00000304872","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000294047","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000304289","","lncRNA",113.179415668152,118.827539099936,165.105144002363,150.347052233878,35.0291989897626,41.5173110410769,26.1885499828052,19.8651274594253
"ENSG00000139223","ANP32D","protein_coding",1.11506813466159,0,1.08980293070867,1.75844505536699,0,0,0,0
"ENSG00000304882","","lncRNA",1.11506813466159,0.49102288884271,2.17960586141734,3.95650137457573,1.25104282106295,0,0,2.20723638438059
"ENSG00000294070","","lncRNA",0,0,0,0,0,3.45977592008974,0,0
"ENSG00000304293","","lncRNA",20.0712264239087,15.221709554124,98.6271652291345,133.20221294405,0,0,0,0
"ENSG00000177627","C12orf54","protein_coding",0.557534067330796,0,0,0.439611263841748,2.5020856421259,0,2.90983888697836,1.1036181921903
"ENSG00000253427","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000294071","","lncRNA",0.557534067330796,0,0,0,3.75312846318885,0,0,2.20723638438059
"ENSG00000296722","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000294085","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000253513","SQLE-DT","lncRNA",0.557534067330796,0,2.72450732677167,0,8.75729974744064,3.45977592008974,0,4.41447276876119
"ENSG00000304312","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000231964","","lncRNA",0,0.49102288884271,0,0.439611263841748,1.25104282106295,3.45977592008974,0,3.31085457657089
"ENSG00000146385","TAAR8","protein_coding",0,0,0,0,0,0,0,0
"ENSG00000304969","","lncRNA",0,0,0,0,1.25104282106295,3.45977592008974,2.90983888697836,1.1036181921903
"ENSG00000237110","TAAR9","protein_coding",0,0,0,0,0,0,0,0
"ENSG00000131264","CDX4","protein_coding",0,0,0.544901465354334,0,0,0,0,0
"ENSG00000296739","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000286105","TMEM217B","protein_coding",0,0,0,0,0,0,0,0
"ENSG00000229503","RPL21P37","processed_pseudogene",0,0.49102288884271,2.17960586141734,1.31883379152524,0,0,0,0
"ENSG00000288755","","lncRNA",0,0,0,0,6.25521410531475,3.45977592008974,0,1.1036181921903
"ENSG00000258399","MIR493HG","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000304317","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000228902","ST6GALNAC2P1","processed_pseudogene",0,0,0,0,0,0,0,0
"ENSG00000304343","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000294123","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000225045","MTND5P27","processed_pseudogene",0,0,0,0,0,0,0,0
"ENSG00000234556","LINC00701","lncRNA",22.8588967605627,25.0421673309782,31.6042849905514,26.8162870943466,0,0,0,0
"ENSG00000072133","RPS6KA6","protein_coding",1477.46527842661,1468.1584376397,1200.96282964095,1084.08137663375,185.154337517316,200.667003365205,148.401783235896,164.439110636354
