"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000143847",534.402814023888,3.81872340698665,0.31776318353409,12.0175136858703,2.87492274220793e-33,6.02197858234266e-31
"ENSG00000044524",433.895522771869,3.15274425570613,0.265155067853771,11.890190450536,1.33102728253011e-32,2.7503700239416e-30
"ENSG00000123384",1344.78718493877,1.80870067430092,0.152166921949894,11.8862933620784,1.39459478273524e-32,2.8432998430406e-30
"ENSG00000100504",2629.30587736722,1.38822088294849,0.117587817481319,11.8058223435352,3.64212676098483e-32,7.32786319766039e-30
"ENSG00000248415",167.298591862894,5.96755773410148,0.505770539049037,11.7989429461863,3.95245088808069e-32,7.84895149735608e-30
"ENSG00000105877",298.977031689285,3.05790546365759,0.259427558570425,11.7871265508883,4.54794320937754e-32,8.91571789930666e-30
"ENSG00000013588",5202.65752554222,1.21542771511659,0.103639326835636,11.7274759710102,9.21661236013183e-32,1.7839394885921e-29
"ENSG00000107551",766.974606456167,2.03967552731289,0.175434901049938,11.6263954042548,3.02607880319857e-31,5.78397137246366e-29
"ENSG00000151151",1015.11017546665,1.76242673141609,0.152299580588755,11.5721049565793,5.70652090594792e-31,1.07726433546728e-28
"ENSG00000164171",10535.6861049884,1.2860608820469,0.111621036415389,11.5216712131298,1.02601440963058e-30,1.91326662654405e-28
"ENSG00000101187",2399.89988137266,1.49401077014684,0.129875272021264,11.5034274569391,1.26779042355162e-30,2.33563655018407e-28
"ENSG00000177606",3240.04223991303,1.19717545104622,0.104359687006147,11.4716274587495,1.83181391591809e-30,3.33455554622661e-28
"ENSG00000053747",5921.9739738079,1.29005086264277,0.112502498317582,11.4668641313289,1.93546515120451e-30,3.48178795612566e-28
"ENSG00000227008",222.028535514946,3.45834616806166,0.301884606015876,11.4558546515611,2.19784594872049e-30,3.90782120952151e-28
"ENSG00000145623",1656.11802166906,1.4057170750183,0.123207580984724,11.4093391314337,3.755718589019e-30,6.60099918904478e-28
"ENSG00000067082",2363.4027951541,1.4021466773561,0.12375122761246,11.3303658024878,9.28162916685944e-30,1.61278854080054e-27
"ENSG00000143320",3721.0988551891,1.28305243580058,0.113535280087521,11.3009139961738,1.29859333838687e-29,2.23110008283974e-27
"ENSG00000186918",1093.39056212821,1.66502014217053,0.147684233092673,11.2741902591979,1.7599034719202e-29,2.99007599879243e-27
"ENSG00000107159",167.9165247136,6.25883891090664,0.556727781010587,11.2421889555169,2.53029278056089e-29,4.25172603379743e-27
"ENSG00000169499",1874.7226701684,1.41411221295772,0.125926019513587,11.229706286437,2.91445737462192e-29,4.84401822992867e-27
"ENSG00000101311",3466.75050346523,1.39396951930235,0.124296589001106,11.2148654319866,3.44710309657942e-29,5.66770467202106e-27
"ENSG00000170379",261.345862057955,3.33058525772057,0.299073863761542,11.1363300551603,8.34892780505648e-29,1.35812186241616e-26
"ENSG00000020577",2231.31342797139,1.44515681981011,0.130632782383435,11.0627423946943,1.90191875869674e-28,3.06128839360335e-26
"ENSG00000145730",2764.32532022691,1.40806593194193,0.128425990852832,10.9640262270235,5.69098669141483e-28,9.06467473941919e-26
"ENSG00000164442",3965.05526951602,1.48334412292235,0.135879501167071,10.9166144280917,9.60081535300653e-28,1.51346461404972e-25
"ENSG00000159399",3231.68232459838,1.41681563409121,0.130040272307841,10.8952066075132,1.21490509941298e-27,1.89562386480855e-25
"ENSG00000120071",2867.61388090637,1.19177399438404,0.109782777962292,10.8557463793947,1.87270556242199e-27,2.89247886414087e-25
"ENSG00000296622",640.460347636889,2.14848358221281,0.199198361317545,10.7856488778434,4.02393382984499e-27,6.15299721921598e-25
"ENSG00000196205",708.475905323337,3.88855229635734,0.361646639820718,10.7523528997395,5.7768877535038e-27,8.74597927117095e-25
